latent_id	gluten_free	low_price	children_friendly	caffeine_free	no_sugar	vegetarian
0	601	196	364	502	854	621
1	185	392	217	264	280	120
2	896	655	1013	897	35	23
3	708	665	292	213	906	686
4	96	528	161	73	607	135
5	934	674	75	319	311	162
6	561	735	694	556	262	796
7	385	764	526	856	706	254
8	711	399	14	851	116	830
9	798	323	62	223	136	880
10	619	732	435	159	324	561
11	967	137	289	289	738	982
12	839	504	151	645	883	560
13	727	276	446	983	312	692
14	835	651	944	1000	206	513
15	774	199	383	674	328	432
16	598	121	558	903	154	669
17	607	679	359	745	641	488
18	65	558	535	438	888	302
19	452	386	681	658	865	457
20	648	853	429	727	600	737
21	854	201	953	788	1010	826
22	449	623	657	282	391	789
23	173	180	393	829	619	510
24	411	491	932	41	1	1
25	676	813	1002	849	173	165
26	451	169	750	683	307	427
27	386	708	817	723	145	216
28	183	703	989	204	690	93
29	822	519	516	247	459	914
30	943	69	238	203	526	564
31	933	362	55	118	959	981
32	860	255	218	354	519	795
33	885	643	603	313	393	169
34	1008	27	804	409	717	184
35	408	583	598	552	192	471
36	899	238	888	975	824	463
37	396	275	307	286	582	493
38	923	876	361	307	694	953
39	401	923	637	699	529	164
40	581	178	765	806	196	428
41	1007	5	400	320	894	598
42	177	225	872	970	640	917
43	422	976	331	232	842	359
44	500	20	427	19	956	822
45	277	613	335	51	12	6
46	582	795	39	134	606	486
47	555	153	985	1008	112	777
48	518	668	394	575	199	631
49	787	227	691	988	896	572
50	916	986	17	150	969	886
51	141	762	459	224	802	229
52	742	350	926	566	26	926
53	260	396	54	509	390	1010
54	769	257	1009	600	296	526
55	391	122	982	969	926	814
56	725	897	133	589	42	284
57	403	632	312	91	614	942
58	865	749	975	982	686	734
59	241	666	423	515	596	971
60	551	328	948	278	23	12
61	374	520	798	960	793	726
62	117	431	223	618	679	955
63	1013	216	943	838	484	210
64	649	58	521	279	1012	716
65	840	953	506	559	482	809
66	198	870	309	287	122	91
67	940	548	336	376	982	966
68	465	738	793	916	553	578
69	206	576	430	167	285	376
70	684	947	928	894	509	127
71	149	828	268	868	558	335
72	373	385	868	125	318	445
74	558	673	498	503	202	612
75	918	204	464	374	327	490
76	583	345	684	639	284	601
77	668	217	153	229	930	449
78	686	29	787	797	531	969
79	127	525	744	408	147	30
80	205	97	731	199	80	399
81	250	170	286	492	873	569
82	291	874	590	717	228	230
83	872	854	78	565	699	215
84	627	770	79	361	266	233
85	434	194	431	831	580	382
86	574	166	741	995	722	741
87	176	406	424	562	69	632
