latent_id	Drama	Comedy	Action	Thriller	Horror	Romance	Sci-Fi	Adventure
1	502	814	200	63	92	763	145	367
2	270	213	759	823	297	860	518	629
3	563	141	332	601	567	12	419	316
4	398	788	395	21	253	428	491	602
5	837	221	168	268	488	67	295	127
6	100	935	145	149	705	506	374	454
7	32	691	752	349	676	446	835	898
8	516	659	415	780	352	208	873	675
9	524	405	414	327	502	884	175	233
10	209	123	788	571	802	172	546	524
11	15	909	406	655	784	305	397	361
12	246	130	122	896	299	358	926	779
13	940	2	606	937	821	620	405	187
14	639	328	724	301	684	548	632	712
15	586	220	329	666	276	495	231	340
17	614	673	80	878	264	524	70	101
18	896	253	243	939	63	626	58	47
19	505	934	148	44	398	590	378	199
20	504	281	915	294	553	463	657	902
21	458	250	294	562	513	84	512	292
22	848	334	789	182	861	151	732	839
23	575	492	601	914	793	193	324	149
25	479	620	77	62	824	443	665	434
26	770	741	497	191	33	773	370	245
27	438	770	71	81	571	378	207	291
28	450	407	137	525	910	489	379	44
29	882	316	839	595	667	488	342	70
30	788	597	854	861	882	339	725	451
31	832	164	659	259	27	373	734	410
32	22	615	559	733	446	408	676	730
33	19	906	476	909	317	371	682	547
34	874	531	281	578	149	692	4	38
35	24	712	702	574	582	754	411	829
37	916	760	262	3	308	364	840	325
38	415	274	666	440	249	555	328	689
40	379	256	893	715	898	254	624	787
41	665	565	87	413	783	556	406	39
42	570	222	745	479	438	677	654	436
43	621	517	121	386	210	694	302	352
44	754	45	413	581	315	291	306	246
45	474	276	212	522	303	381	59	139
46	813	900	33	57	886	672	34	50
47	316	234	728	184	495	391	539	696
48	900	300	61	179	88	662	44	63
49	734	60	534	367	204	283	224	431
50	352	873	552	668	468	295	521	213
52	756	307	114	244	39	928	127	206
53	8	752	852	550	430	858	771	877
54	190	260	357	549	609	510	515	653
55	779	580	389	78	179	693	424	208
56	3	908	652	541	711	133	516	762
57	310	217	764	588	585	24	898	645
58	172	175	810	669	738	7	573	534
59	752	422	139	140	117	648	241	565
60	312	294	883	350	819	807	230	727
61	239	632	608	894	934	206	458	432
62	744	867	138	169	155	927	19	148
63	484	42	619	656	623	399	564	519
64	679	297	782	419	34	768	628	680
65	429	469	133	280	46	544	131	158
66	551	725	459	59	892	508	412	588
67	736	653	30	635	766	504	925	339
69	877	149	709	483	280	619	158	306
70	651	94	422	139	724	118	477	751
71	236	633	124	168	551	450	728	563
72	937	106	748	835	424	225	349	667
73	456	661	8	358	341	654	126	16
74	237	733	766	109	102	348	809	663
77	187	475	354	717	373	207	487	593
78	694	176	257	530	353	886	876	927
79	218	579	467	201	320	286	534	250
80	711	655	4	360	448	889	242	20
81	823	98	479	517	568	660	420	659
83	149	866	550	357	86	737	660	863
84	853	233	176	713	601	482	401	754
85	55	362	830	737	384	741	882	889
86	880	181	314	698	326	275	842	750
87	897	730	13	123	455	160	587	163
88	137	630	613	708	145	328	704	619
89	815	244	146	513	188	421	101	35
90	65	623	925	213	650	486	916	921
92	191	463	460	429	461	922	813	611
94	571	652	156	281	87	663	111	299
95	69	818	471	703	624	202	212	289
96	767	5	876	875	616	162	537	597
97	255	186	806	681	515	152	745	813
98	343	137	664	617	251	470	748	529
99	160	331	679	238	836	689	905	438
100	810	30	370	711	750	21	648	482
101	687	585	21	680	691	379	343	132
102	730	431	328	307	360	534	361	334
103	308	642	205	687	111	281	365	104
104	297	479	692	302	697	651	854	795
105	152	872	587	362	415	349	284	788
106	7	856	864	755	772	244	562	761
107	26	925	690	332	490	289	469	470
108	128	902	807	828	578	30	490	212
109	413	915	82	141	356	54	156	185
110	500	619	615	824	497	933	500	503
111	727	31	503	908	849	892	859	903
112	260	472	520	488	306	26	289	429
113	623	440	180	240	408	790	51	137
114	12	862	657	658	569	591	663	684
115	816	49	256	846	521	413	659	330
116	392	742	778	154	64	110	893	783
117	550	16	914	688	891	477	630	388
118	107	364	403	830	625	733	315	373
119	432	444	92	361	221	937	697	780
121	396	148	142	497	186	561	385	271
122	380	635	265	53	202	370	162	767
123	230	343	905	700	698	808	81	742
124	938	852	26	70	394	801	29	18
125	564	641	886	838	413	789	909	928
126	718	464	286	255	183	385	30	422
127	85	809	356	397	463	630	529	240
128	252	305	345	758	266	856	535	799
129	659	409	856	126	737	126	934	895
130	552	451	22	491	634	760	147	30
131	86	273	542	781	540	197	530	665
132	842	486	326	328	269	744	6	100
133	579	100	741	322	791	95	125	336
134	44	815	600	779	500	266	455	599
135	2	933	575	745	850	923	759	900
136	616	354	427	674	20	629	721	130
137	148	566	829	124	927	500	907	853
138	138	940	337	454	592	558	639	920
139	49	651	505	871	498	382	467	494
140	697	108	775	226	400	92	553	723
142	335	107	597	720	749	35	235	616
143	37	869	614	694	379	623	495	468
144	519	466	100	127	853	14	831	171
145	259	356	647	531	794	285	623	528
146	225	617	506	227	545	535	797	915
147	87	812	665	443	797	386	609	613
148	421	513	836	381	174	720	42	489
149	785	223	274	329	57	111	752	420
150	368	326	689	721	456	28	600	688
151	471	288	543	748	607	621	163	359
154	520	179	584	757	431	91	608	428
155	881	95	247	478	867	335	677	473
156	606	18	911	607	860	519	891	926
157	89	168	712	924	452	71	595	726
158	427	155	513	573	833	29	641	741
159	76	841	861	613	107	347	757	647
160	364	796	429	297	903	419	445	160
161	73	913	308	129	651	897	527	573
162	97	309	696	760	420	8	631	585
163	522	412	184	431	510	256	15	91
164	760	756	605	42	577	457	820	820
165	265	773	167	246	367	522	726	458
166	454	192	583	771	279	785	603	796
167	850	610	267	496	588	721	76	24
168	514	293	442	171	286	728	403	656
169	723	714	598	177	216	368	345	222
171	620	54	588	719	579	320	94	327
172	210	795	248	212	704	392	716	391
173	285	916	95	31	734	900	327	259
174	365	667	472	808	343	914	255	381
175	329	537	677	106	533	525	767	636
176	305	449	152	161	501	901	865	477
177	383	888	98	79	74	920	82	95
178	165	556	564	775	506	645	389	526
179	145	783	573	593	528	99	921	815
180	452	602	27	572	746	872	106	17
181	472	136	462	763	713	216	297	331
182	928	485	34	39	816	165	713	103
183	689	26	352	458	231	530	216	302
184	324	157	297	538	457	153	278	317
185	497	791	74	107	626	367	208	227
186	420	552	763	602	61	756	299	493
187	636	58	181	837	905	93	211	77
188	580	112	369	534	764	132	262	758
189	809	361	218	764	340	810	73	45
190	461	280	103	229	619	326	617	144
191	782	540	58	565	649	272	38	3
193	174	927	236	73	203	628	219	566
194	331	639	284	278	189	770	115	323
195	376	91	648	449	696	600	881	546
196	280	713	377	314	742	315	879	869
198	941	39	857	589	272	369	643	338
200	776	44	798	884	874	31	504	570
201	91	278	589	770	589	196	492	530
202	17	402	941	508	526	166	937	939
203	109	899	454	667	128	479	247	831
204	593	436	581	334	11	565	202	532
205	284	323	221	625	635	448	932	747
207	824	51	518	492	834	334	597	697
208	741	763	144	424	432	610	24	41
209	340	442	897	394	402	546	570	405
210	590	140	426	647	688	52	457	310
211	72	489	700	815	471	461	422	485
212	712	790	441	833	29	726	783	825
213	355	194	936	929	840	331	688	896
214	574	511	449	603	778	507	96	513
215	862	23	474	743	636	41	738	232
216	197	366	544	500	134	77	330	165
218	319	586	628	750	475	240	531	515
219	664	550	209	624	153	740	108	65
220	766	702	446	480	55	753	237	214
221	202	357	676	918	718	711	626	655
222	786	802	99	250	108	332	8	32
223	792	66	541	633	841	9	719	386
224	4	844	837	677	617	883	817	823
225	696	858	749	4	529	234	509	628
226	690	387	698	509	123	572	85	538
227	871	574	83	194	83	595	36	164
228	819	245	45	303	278	139	331	84
229	135	342	832	714	708	43	772	818
230	223	887	669	65	62	585	805	891
231	669	596	204	96	645	311	99	135
232	518	28	831	774	759	158	428	618
233	480	285	838	609	397	259	186	228
234	208	46	940	938	434	667	935	941
235	485	76	375	859	666	267	213	230
236	175	386	841	640	357	138	341	641
237	742	114	196	567	524	301	195	88
238	275	177	530	917	323	597	387	452
239	357	242	475	494	240	659	223	277
240	789	522	89	220	380	743	67	74
241	224	875	457	134	900	910	375	111
242	105	793	847	385	565	820	254	744
244	851	261	276	287	30	436	724	377
245	442	584	150	94	470	570	430	311
246	336	262	693	283	674	354	637	717
247	889	589	47	83	655	587	130	474
248	540	637	726	320	275	201	674	734
249	737	855	12	133	96	484	97	94
250	798	240	480	423	172	632	304	931
251	927	88	510	646	906	231	602	450
252	491	65	923	934	361	822	720	804
253	475	368	929	389	59	772	318	745
255	153	555	902	74	150	545	601	843
256	495	675	195	23	731	767	723	856
257	589	648	335	66	247	365	920	819
258	388	931	119	321	73	778	46	201
260	596	73	791	544	255	398	143	849
261	587	295	507	100	406	282	503	583
262	622	743	50	144	60	567	189	207
263	108	518	468	772	926	580	307	231
264	675	484	492	433	260	687	383	279
265	600	876	208	33	178	247	129	189
266	416	335	202	706	69	167	203	182
267	771	41	594	829	310	738	291	120
268	40	593	701	812	480	325	653	699
269	494	854	111	474	404	375	37	68
270	423	143	417	630	798	16	414	537
271	529	267	197	786	761	304	74	79
272	795	122	175	651	646	501	398	128
273	509	394	465	673	817	537	292	256
274	60	644	355	591	846	401	588	109
275	229	144	926	913	835	929	877	808
276	342	930	161	834	265	814	323	118
277	346	338	303	323	643	869	770	591
278	890	425	283	400	355	668	214	46
279	126	658	586	558	663	420	280	562
281	184	289	934	383	745	850	900	909
282	703	93	816	926	741	832	619	800
283	873	491	76	269	374	761	62	261
