latent_id	gluten_free	low_price	children_friendly	caffeine_free	no_sugar	vegetarian
0	212	893	424	566	654	88
1	780	129	124	330	626	538
2	893	54	407	23	788	126
3	487	932	764	154	73	858
4	867	814	64	178	722	444
5	680	936	942	877	966	623
6	806	387	260	167	316	39
7	457	759	311	478	851	291
8	95	382	296	698	50	393
9	512	943	899	1008	432	332
10	325	879	78	149	506	690
11	590	362	8	61	752	524
12	305	635	637	299	545	225
13	824	36	423	92	655	503
14	653	632	455	887	520	633
15	800	392	378	465	441	1021
16	292	757	554	209	335	278
17	497	300	798	988	777	753
18	125	513	57	662	188	868
19	NaN	785	NaN	738	NaN	NaN
20	577	217	331	839	352	716
21	1010	926	531	816	372	789
22	422	226	911	145	894	29
23	779	1021	957	991	860	965
24	25	427	520	343	475	531
25	252	939	509	288	381	123
26	490	309	843	696	650	431
27	352	827	527	659	483	421
28	355	1024	384	847	463	687
29	348	903	734	262	820	188
30	996	70	809	614	64	341
31	739	810	623	811	849	835
32	309	287	659	473	37	984
33	679	830	232	53	898	669
34	350	955	390	447	327	351
35	1005	429	751	653	286	361
36	16	758	341	39	321	312
37	159	285	696	851	789	588
38	210	219	69	228	917	137
39	192	122	357	488	305	435
40	804	384	230	520	109	956
41	594	99	841	958	664	331
42	296	696	166	281	519	294
43	662	222	213	616	719	494
44	253	498	158	710	535	140
45	558	1023	741	794	365	400
46	927	840	787	801	926	950
47	415	178	769	76	45	563
48	495	75	133	142	670	455
49	562	560	813	338	718	127
50	725	708	676	79	138	164
51	222	9	397	647	567	321
52	304	195	422	771	424	915
53	845	416	897	161	355	402
54	942	957	1014	248	1020	900
55	389	335	933	954	533	834
56	427	628	908	625	245	160
57	128	626	180	327	360	248
58	839	290	680	766	224	816
59	735	572	934	757	106	111
60	992	198	307	225	33	937
61	960	705	677	451	721	970
62	843	310	371	441	619	764
63	797	111	199	425	380	457
64	587	77	892	1010	252	685
65	895	908	61	205	690	786
66	599	108	528	526	759	793
67	211	889	379	326	793	369
68	611	736	976	980	142	711
69	974	933	220	796	534	1022
70	564	666	319	458	527	414
71	185	391	360	588	543	211
72	728	529	365	628	985	422
73	407	116	730	315	662	714
74	694	118	917	1007	203	788
75	868	409	540	38	86	867
76	59	960	80	324	775	91
77	970	158	935	1006	593	688
78	1004	225	836	210	445	953
79	50	72	192	35	46	504
80	923	509	283	554	451	1014
81	951	192	789	673	217	747
82	244	132	490	914	129	314
83	1021	262	797	664	183	201
84	697	548	814	498	187	61
85	330	227	172	74	643	505
86	811	622	555	938	666	652
87	141	539	654	462	25	299
88	235	801	152	602	152	367
89	410	734	690	30	250	519
90	626	280	865	8	955	932
91	213	232	859	126	225	429
92	283	44	207	382	665	253
93	969	81	846	783	404	162
94	550	682	419	185	933	610
95	105	831	104	435	385	333
96	586	561	420	621	300	755
97	189	941	570	460	406	219
98	258	518	308	166	204	28
99	148	765	404	168	255	31
100	752	853	356	612	600	776
101	428	119	273	415	828	418
102	109	677	525	719	816	200
103	914	866	153	117	515	1017
104	619	446	524	772	296	555
105	645	257	127	174	583	722
106	943	928	838	916	715	723
107	505	618	362	567	928	42
108	621	432	335	434	574	602
109	8	752	381	697	172	343
110	467	896	526	564	60	448
111	813	182	946	765	238	903
112	975	243	129	580	415	398
113	491	386	566	957	257	136
114	972	474	889	398	529	672
115	479	590	395	201	446	135
116	453	326	425	683	781	902
117	1003	7	1007	921	875	373
118	907	365	761	781	49	829
119	172	761	195	618	198	399
120	887	276	999	943	558	510
121	468	1006	268	136	586	629
122	511	231	389	579	179	812
123	498	312	857	1004	839	838
124	39	615	37	257	462	582
125	1008	607	551	776	166	492
126	388	988	609	329	235	228
127	971	379	923	332	63	143
128	670	541	858	729	783	833
129	115	806	662	660	334	221
130	834	440	363	457	821	988
131	349	113	737	606	544	87
132	889	521	396	858	911	567
133	359	1009	88	604	111	25
134	393	389	652	752	382	202
135	709	159	602	935	248	674
136	865	255	398	444	620	318
137	888	148	969	749	773	916
138	933	79	657	956	953	874
139	163	872	35	49	127	104
140	629	471	325	369	392	1023
141	612	751	100	283	982	155
142	531	678	930	953	790	882
143	835	136	107	93	507	536
144	896	221	823	81	921	44
145	1019	606	581	656	1019	939
146	275	161	879	740	882	264
