latent_id	Drama	Comedy	Action	Thriller	Horror	Romance	Sci-Fi	Adventure
0	690	697	519	495	304	593	521	341
1	147	609	141	434	584	384	69	54
2	565	475	67	164	587	226	464	72
3	202	440	239	344	384	101	227	138
4	657	521	463	535	387	374	574	592
6	563	364	443	47	305	77	436	446
8	232	695	146	326	185	36	77	76
9	354	245	628	601	509	138	702	318
10	327	219	674	597	421	16	637	676
12	220	707	182	548	606	458	104	28
13	631	242	256	259	29	499	76	303
14	212	422	588	693	63	282	674	587
16	544	497	210	558	21	443	56	134
17	72	574	412	340	556	245	415	316
18	429	533	82	347	506	312	45	85
19	241	106	328	349	483	171	369	478
22	370	120	243	374	199	303	697	354
23	196	650	557	33	644	420	482	419
24	693	627	700	687	2	527	642	653
25	139	447	250	140	675	534	116	361
26	375	625	144	2	630	86	611	320
27	238	296	279	405	327	612	249	217
28	19	529	464	614	341	692	412	384
29	257	374	49	355	314	168	51	60
31	625	684	680	642	238	437	595	619
32	118	400	317	419	645	81	275	378
33	468	264	142	129	93	273	53	106
35	204	615	527	18	158	351	664	685
37	287	410	40	155	588	577	81	53
38	142	302	580	473	NaN	98	706	713
39	280	125	345	514	548	136	126	183
40	528	395	291	394	254	118	318	336
41	289	83	548	417	633	259	458	610
42	400	116	522	317	632	463	614	533
43	322	681	320	491	94	292	132	110
44	225	297	415	441	319	294	324	436
45	589	493	13	27	169	260	207	126
46	332	418	208	105	76	221	149	235
47	605	404	50	151	444	511	48	59
51	13	500	640	650	454	181	693	554
52	611	516	36	46	147	398	167	200
53	254	284	329	118	625	668	311	611
56	707	596	102	29	17	709	66	287
59	292	548	259	37	258	117	194	486
60	709	5	652	662	651	276	405	348
61	173	578	223	66	126	548	148	323
62	626	71	278	345	564	131	385	231
63	403	132	179	524	NaN	15	NaN	NaN
65	345	314	694	65	182	585	696	702
66	532	409	238	181	343	307	624	38
67	667	203	400	500	435	545	330	464
68	409	330	112	348	187	271	277	177
74	37	685	593	504	345	31	446	519
76	190	159	466	287	401	150	513	508
77	640	630	247	667	57	602	85	625
78	670	13	637	670	130	502	584	435
79	491	61	402	386	333	133	456	321
80	284	699	495	634	701	588	481	98
81	85	426	376	284	103	519	502	636
84	324	672	166	592	686	238	24	33
85	315	65	340	519	307	223	449	319
86	101	690	249	171	312	105	445	255
87	356	478	183	63	123	631	55	357
88	691	303	264	230	4	552	424	482
89	230	652	101	36	576	429	540	430
90	613	679	280	6	44	710	196	372
92	533	320	434	247	13	391	119	684
93	350	186	298	232	463	197	577	388
94	264	325	226	94	457	355	255	309
95	321	62	556	401	323	715	213	459
98	393	63	590	300	207	620	662	620
99	152	691	339	198	64	261	139	343
101	267	700	308	698	134	671	102	258
102	592	260	113	574	598	600	14	21
107	170	637	462	537	115	662	201	298
108	341	114	594	447	239	643	534	441
109	115	583	321	69	627	228	112	326
111	391	499	169	149	106	381	35	548
112	518	313	413	392	585	8	560	403
113	103	192	661	252	179	46	477	640
114	672	675	136	217	101	626	1	97
115	428	177	270	339	127	258	293	268
116	335	265	234	312	448	353	199	95
121	126	332	201	333	281	684	557	497
122	309	307	107	257	236	124	141	70
123	351	376	191	477	394	525	128	52
124	368	209	74	433	528	507	647	239
125	696	680	689	314	1	617	681	675
126	564	36	547	513	488	446	550	574
127	28	621	686	235	629	609	517	664
128	576	553	164	359	256	373	88	36
129	45	301	494	384	573	60	394	499
130	75	541	222	329	659	450	101	125
132	125	357	371	213	NaN	220	692	695
134	183	164	253	420	432	201	567	428
135	440	468	306	365	58	537	23	185
136	653	674	704	660	519	610	657	535
137	689	20	656	505	373	697	523	671
138	472	593	33	177	121	300	109	124
141	655	46	235	708	569	533	437	120
142	307	399	645	58	39	165	538	597
143	685	476	26	14	393	266	281	115
144	340	145	511	633	282	90	319	461
145	303	575	416	172	34	536	183	447
146	508	287	170	107	621	126	613	245
147	545	661	691	3	31	653	475	566
151	363	407	215	260	424	698	596	603
152	497	66	227	414	196	107	169	105
154	176	200	552	205	266	272	187	300
156	694	513	18	387	153	584	50	93
157	678	241	566	497	669	185	601	635
160	596	611	501	133	9	329	127	493
161	422	15	582	544	545	93	468	639
162	369	135	555	249	91	509	192	525
163	158	582	282	193	82	200	562	536
164	396	308	156	319	623	100	122	15
165	519	479	373	644	563	232	661	471
166	276	441	196	234	365	317	292	222
167	109	362	237	256	468	283	323	240
169	161	199	346	457	313	47	221	212
170	591	103	288	242	100	239	650	656
172	610	38	513	377	86	132	461	510
173	378	367	574	80	72	217	159	666
174	237	152	248	212	97	503	272	254
175	272	109	172	563	526	190	459	159
176	229	467	77	400	105	496	136	109
177	602	9	296	438	364	73	279	420
178	157	599	445	183	646	59	558	496
179	121	310	475	276	267	96	498	599
180	712	4	635	702	599	506	271	364
181	20	651	536	397	300	104	532	598
183	197	433	218	120	188	354	312	405
185	79	258	528	621	617	279	246	291
186	679	351	667	361	10	268	150	203
187	111	556	265	220	299	53	87	143
190	546	43	500	526	502	12	428	576
191	265	663	64	549	423	382	177	215
194	705	166	623	640	515	683	623	156
197	414	14	286	663	276	39	298	206
198	3	665	584	639	371	147	451	400
199	410	75	330	290	160	184	331	220
200	618	558	65	35	98	441	340	700
201	316	91	177	566	613	52	701	271
202	467	524	9	174	170	482	17	22
207	547	616	620	572	674	479	402	101
209	305	581	492	471	22	645	480	527
210	535	392	59	73	144	246	403	146
211	646	119	370	564	590	621	178	129
212	632	586	157	45	14	516	82	456
214	539	559	644	59	60	557	189	631
215	603	562	427	141	52	590	154	442
216	268	703	14	8	560	229	320	132
217	67	338	424	533	485	243	322	448
219	608	274	81	285	208	448	98	399
220	251	118	613	408	293	538	677	488
222	198	370	242	128	600	66	569	439
223	32	517	469	649	352	675	656	632
225	579	569	384	584	201	634	32	228
226	427	498	73	268	240	91	37	29
227	110	180	453	459	296	347	420	363
228	616	147	58	372	451	71	338	99
230	160	431	551	134	110	270	135	513
231	644	371	193	296	460	129	602	188
233	87	254	486	658	628	642	289	467
234	250	549	17	233	197	396	107	100
236	622	694	562	494	402	522	573	539
237	401	188	285	531	441	140	525	241
238	717	622	388	622	NaN	632	280	355
239	407	706	565	222	5	380	413	667
240	88	477	158	262	297	19	510	481
241	620	154	586	550	95	578	211	133
242	371	214	428	261	237	560	484	401
243	168	496	502	556	530	663	411	489
244	420	483	326	484	18	497	133	243
245	586	131	505	525	325	35	609	506
246	394	165	151	575	164	409	217	62
248	436	26	659	516	99	256	703	698
249	49	406	648	607	640	581	582	325
251	174	501	123	208	318	280	267	453
252	293	227	509	180	241	331	215	308
253	702	398	687	32	690	180	675	601
255	556	143	334	382	504	681	360	202
256	337	207	281	423	683	80	421	234
257	136	346	197	158	682	164	229	265
258	665	228	542	320	120	547	395	360
260	612	167	619	184	157	705	541	705
261	511	698	360	179	16	457	31	518
262	203	522	269	292	482	386	388	460
264	357	289	295	600	183	574	268	148
265	488	30	561	570	295	25	515	573
266	550	428	42	253	582	611	5	13
267	573	128	387	278	383	210	431	473
268	562	539	195	360	222	385	30	6
269	537	642	47	5	338	304	575	379
270	195	485	530	587	637	38	363	558
272	133	542	134	178	206	685	165	362
273	516	602	534	137	66	403	535	347
274	100	385	260	286	604	322	520	349
275	473	387	539	352	470	284	295	412
276	479	124	245	255	156	321	383	630
277	664	419	34	299	469	528	44	35
278	496	511	28	49	253	488	33	94
282	688	51	263	469	146	375	205	166
283	517	77	290	404	368	406	251	168
284	36	360	650	684	NaN	14	422	679
285	531	508	289	176	33	414	188	532
286	9	237	717	714	242	469	714	716
288	165	353	364	389	522	23	202	278
290	149	469	460	187	610	95	171	476
291	385	113	715	160	524	41	708	715
292	454	138	474	371	430	371	501	422
293	262	488	284	127	496	586	469	594
294	493	626	708	699	602	440	114	9
295	405	256	611	591	555	20	592	198
296	210	527	258	88	520	296	198	196
299	302	255	514	354	466	166	476	252
300	435	341	83	303	41	582	209	294
302	492	322	53	43	214	122	160	122
303	566	401	257	445	215	442	94	50
304	580	659	682	4	666	176	561	515
305	541	565	657	101	36	274	397	677
306	676	656	6	60	87	654	27	8
307	683	2	705	707	566	587	618	691
308	680	96	69	450	278	103	653	46
309	252	384	108	139	684	454	508	608
310	299	126	304	321	589	638	321	396
312	143	304	302	161	135	672	417	261
314	108	624	437	265	412	364	336	330
315	643	19	487	666	523	508	356	529
316	669	80	391	358	433	318	285	541
318	336	714	92	373	138	401	453	375
319	551	179	297	199	143	438	100	207
322	89	107	572	536	510	240	554	613
323	462	148	478	209	395	287	301	290
325	298	536	122	145	129	195	352	259
326	577	396	625	465	84	247	511	472
328	663	610	4	226	695	308	21	5
330	140	606	354	25	447	485	489	424
331	227	272	577	316	150	604	164	37
333	408	190	472	492	257	13	616	369
334	456	110	482	460	378	570	366	404
335	22	643	672	551	442	29	556	563
336	687	39	541	313	396	207	629	649
337	482	68	563	462	534	510	396	501
338	122	445	150	369	700	152	423	174
340	463	429	117	676	503	455	687	58
341	59	660	598	263	558	529	583	307
342	649	373	148	113	48	606	18	178
343	561	171	63	338	259	470	96	75
344	74	696	618	110	89	695	144	694
346	216	335	685	150	437	456	603	657
347	567	361	477	673	626	625	585	621
349	42	173	537	648	462	69	549	534
351	319	232	649	688	389	542	493	495
352	117	93	660	608	427	647	531	591
353	182	129	608	464	440	143	435	596
355	703	552	390	270	6	703	163	395
356	588	197	131	603	552	365	22	7
357	214	151	228	430	500	449	526	324
359	294	136	189	353	693	49	185	173
362	146	363	512	206	264	491	473	624
364	581	48	471	480	532	149	364	149
366	245	160	378	370	445	711	225	312
368	449	169	418	201	366	708	505	505
370	30	668	251	569	335	713	235	225
371	349	326	335	657	326	2	224	421
372	575	55	662	645	653	388	219	524
373	156	503	367	503	228	408	197	180
376	593	563	454	458	232	451	466	351
379	498	597	27	136	172	576	426	299
380	590	25	629	635	596	367	665	658
381	2	389	716	716	NaN	155	NaN	708
382	213	460	180	436	195	494	168	385
386	35	263	529	709	533	605	350	305
387	636	236	695	694	136	471	713	144
389	99	299	209	297	410	97	313	262
390	506	430	54	442	168	162	7	10
391	134	144	314	327	631	269	125	444
393	104	286	479	677	180	316	307	470
397	489	288	225	196	25	424	231	229
398	362	102	379	540	262	378	208	426
402	83	605	430	282	484	679	408	333
403	666	24	573	543	439	658	542	680
404	261	53	347	690	349	139	700	633
405	701	23	468	589	311	74	438	434
406	295	386	152	175	342	189	500	688
407	568	600	3	93	505	311	161	16
408	113	278	230	577	133	134	214	288
410	236	472	76	273	223	561	278	507
414	186	337	560	124	155	30	425	381
415	91	225	365	422	353	291	291	407
416	281	133	355	288	217	665	378	415
417	647	631	1	10	671	234	571	61
419	404	525	160	656	652	686	559	465
420	538	607	647	200	15	390	91	551
421	145	187	229	368	647	251	157	165
422	90	111	524	641	689	462	485	250
424	181	619	266	97	116	501	182	568
426	92	617	311	617	415	549	619	247
427	209	557	633	84	657	603	448	602
430	313	645	72	224	486	343	4	19
431	116	612	701	248	55	432	552	690
432	224	115	447	594	260	7	328	389
433	651	8	526	507	489	262	499	622
434	520	455	39	343	501	319	19	23
435	194	532	352	309	597	119	64	170
436	154	168	458	308	390	412	452	589
437	7	647	592	350	575	690	488	556
438	437	162	276	449	334	174	137	151
440	509	333	206	116	308	188	193	550
441	346	266	342	119	104	565	265	350
442	587	535	11	26	702	153	175	208
443	686	568	606	638	541	106	506	466
444	487	181	184	332	142	219	39	71
445	390	221	396	448	608	120	654	184
446	457	358	216	74	96	520	120	337
447	153	577	294	138	70	439	427	571
448	494	18	671	528	202	636	545	646
449	475	88	699	530	622	288	648	604
450	386	438	375	515	200	661	536	339
452	277	393	25	463	277	464	200	139
453	421	87	254	616	676	233	186	248
454	296	359	456	75	230	160	305	546
455	52	560	581	189	71	572	698	665
456	63	677	488	341	301	17	487	618
457	425	457	87	108	434	172	162	96
461	525	316	531	274	479	157	472	565
462	311	99	564	466	449	10	570	612
463	82	450	643	485	270	37	666	654
464	338	704	35	20	79	716	13	73
465	54	269	307	362	688	349	597	584
466	193	195	688	561	697	42	691	648
468	515	713	15	40	294	707	173	81
471	43	590	440	437	388	407	93	346
472	300	217	331	219	216	342	73	232
473	359	142	202	227	344	11	210	279
477	681	271	91	301	367	327	11	12
478	505	60	324	527	385	436	245	387
479	365	520	60	135	495	431	393	284
480	291	137	147	630	498	589	345	152
481	464	123	66	264	140	193	371	55
482	674	150	596	154	511	99	588	274
483	584	259	51	146	65	173	497	181
484	461	73	485	521	491	48	376	526
486	166	193	520	407	132	278	518	504
487	12	653	439	659	663	435	354	449
488	714	17	303	439	205	465	145	102
490	57	526	319	675	379	616	256	353
492	124	253	670	202	572	167	649	692
493	419	58	470	393	494	22	389	528
497	630	229	316	357	692	102	455	238
499	446	294	397	121	581	57	337	457
500	530	451	52	168	50	563	28	63
502	585	298	372	148	32	523	434	638
504	395	629	327	165	235	641	8	224
507	692	7	664	618	635	637	591	674
510	476	544	165	87	49	544	57	233
511	239	594	186	283	618	579	65	68
512	47	591	333	410	578	313	509	409
513	641	601	32	403	559	366	443	49
515	716	16	516	706	174	702	52	26
516	312	249	115	70	609	94	512	237
519	217	45	543	637	537	372	399	570
520	308	157	538	144	508	393	254	485
522	595	543	127	147	28	554	68	160
523	604	321	75	682	209	306	38	4
524	114	340	377	412	370	123	283	358
525	323	480	23	162	677	669	180	40
526	627	334	48	272	192	498	99	43
527	249	64	350	475	544	237	348	593
528	76	312	639	302	302	187	640	652
529	383	72	389	337	233	421	416	189
532	559	405	292	90	204	656	479	352
534	529	37	192	281	263	297	274	236
537	317	222	504	398	497	614	606	560
539	119	182	631	451	273	182	170	543
540	199	618	132	44	493	558	244	394
542	642	342	386	625	673	359	294	42
543	638	238	576	691	137	673	710	681
544	258	693	283	486	374	320	680	119
550	381	443	61	96	648	242	670	432
551	710	411	658	651	568	540	548	577
552	187	507	86	251	377	148	387	128
554	382	570	696	48	7	635	660	710
555	172	434	167	609	594	466	250	275
556	120	403	128	378	595	543	375	588
560	426	439	678	269	131	417	25	701
561	480	375	448	190	184	555	6	223
563	639	390	697	695	678	472	46	263
564	442	6	698	692	703	28	715	522
568	218	315	337	111	88	566	282	273
569	178	174	609	143	403	666	600	696
570	256	421	432	636	687	116	465	127
571	469	86	459	652	122	368	206	78
574	206	644	406	64	165	141	486	393
575	132	226	405	185	473	151	381	433
576	320	231	116	244	521	333	90	74
579	260	710	219	132	20	500	140	484
580	450	90	595	415	607	225	304	564
581	26	634	353	444	562	706	325	314
583	637	466	16	54	161	447	42	296
584	648	261	153	157	525	341	89	87
585	684	368	702	626	612	416	679	542
586	377	454	205	142	438	177	612	627
