latent_id	gluten_free	low_price	children_friendly	caffeine_free	no_sugar	vegetarian
0	66	491	903	852	59	256
1	489	279	201	457	159	330
2	995	692	348	307	951	921
3	847	918	365	627	497	838
4	247	467	853	672	467	197
5	792	652	504	653	221	735
6	96	496	176	436	255	274
7	312	4	364	305	200	272
8	486	943	54	75	710	689
9	207	907	74	235	776	523
10	837	904	743	918	483	569
11	88	401	310	865	645	217
12	667	700	409	217	633	552
13	844	644	476	622	213	897
14	442	79	956	1006	231	866
15	67	39	795	819	9	936
16	878	32	166	400	845	761
17	775	725	689	109	376	423
18	828	334	517	776	374	970
19	483	21	508	628	755	799
20	507	345	936	937	378	223
21	206	779	130	674	42	51
22	463	255	581	770	653	592
24	743	640	495	94	684	966
25	696	440	748	226	190	555
26	729	129	35	395	243	512
27	720	727	906	752	240	578
28	715	614	786	731	302	113
29	770	578	609	745	333	290
30	37	857	215	302	404	238
31	566	373	858	846	124	654
32	883	281	268	586	763	943
33	674	55	588	338	756	262
34	994	739	833	597	100	295
35	41	666	870	539	14	18
36	152	73	507	282	582	241
37	931	457	8	333	688	992
38	381	336	837	748	502	239
39	229	181	587	433	882	953
40	788	137	228	723	772	870
41	356	933	852	956	914	79
42	652	433	24	11	978	724
43	672	516	941	675	106	29
44	239	133	60	585	595	157
45	518	262	171	633	643	572
46	110	339	474	232	702	301
47	183	98	437	372	400	826
48	799	388	23	67	236	828
49	1002	994	1007	983	883	993
50	363	682	598	426	319	220
51	638	723	991	1003	925	938
52	591	288	605	231	428	867
53	942	804	964	199	504	120
54	199	620	151	69	352	105
55	923	159	299	157	673	208
56	426	163	537	444	244	392
57	494	518	553	855	232	746
58	832	934	277	225	942	151
59	89	787	415	462	808	923
60	960	931	626	487	847	479
61	646	385	337	131	208	187
62	461	514	128	141	488	175
63	310	588	966	978	145	612
64	188	206	357	17	166	545
65	475	898	646	137	792	483
66	865	806	977	802	699	927
67	708	154	177	778	475	673
68	573	761	640	493	130	522
69	59	1002	738	796	79	178
70	753	402	242	383	1007	708
71	613	152	309	230	556	304
72	75	240	845	464	687	32
73	916	541	222	96	298	968
74	42	580	452	582	330	72
75	771	174	64	60	447	388
76	501	858	663	649	660	559
77	121	384	735	593	172	94
78	712	505	580	381	423	595
79	769	135	604	263	263	412
80	51	65	67	546	300	405
81	140	524	884	479	853	23
82	840	714	913	382	481	713
83	892	443	695	686	730	752
84	18	247	510	451	218	146
85	821	354	600	962	567	231
86	914	773	57	76	598	824
87	106	626	718	428	791	24
88	750	781	2	93	538	703
89	639	783	925	988	253	790
90	284	82	552	886	591	482
91	731	962	988	847	927	716
92	842	76	613	636	518	800
93	833	607	908	673	86	171
94	415	369	849	913	306	213
95	968	91	284	66	890	957
96	649	956	49	352	909	287
97	983	950	637	503	910	930
98	399	681	830	941	886	697
99	373	97	376	154	344	417
100	797	416	808	550	892	332
101	829	108	265	289	786	958
102	578	19	381	407	301	987
103	951	677	911	567	170	633
105	813	767	345	439	625	837
106	327	16	292	244	258	107
107	46	519	767	54	367	312
108	570	239	715	753	782	337
109	758	850	1004	890	970	769
110	303	769	751	246	624	129
111	606	636	316	148	433	410
112	210	569	614	89	437	490
113	701	37	145	376	192	914
114	439	442	494	63	49	219
115	921	362	36	269	957	480
116	364	667	405	683	337	363
117	70	463	328	311	364	195
118	274	461	989	914	180	159
119	378	846	574	496	55	142
120	262	674	555	713	533	338
121	180	731	370	527	697	758
122	86	208	595	483	613	444
123	647	703	484	450	22	50
124	182	158	793	972	365	548
125	610	847	118	182	520	859
126	935	86	341	80	238	961
127	567	36	899	940	550	606
128	599	661	666	275	46	216
129	876	393	446	188	795	976
130	658	259	144	744	522	502
131	342	844	281	252	19	651
132	460	492	85	209	979	623
133	24	501	156	664	44	60
134	645	655	972	772	640	885
135	864	635	466	564	919	821
136	532	643	461	337	675	604
137	308	534	87	474	67	250
138	471	338	178	533	388	359
139	505	811	519	602	738	310
140	772	249	393	874	748	891
141	79	935	660	861	841	39
142	329	465	413	510	359	411
143	655	658	733	427	562	413
144	648	232	358	598	57	969
145	417	803	509	46	204	215
146	851	914	38	150	773	571
147	504	315	197	345	961	831
148	614	343	111	690	636	581
149	917	94	921	881	246	949
150	195	865	117	621	115	354
151	999	919	940	684	167	883
152	600	298	417	507	526	584
153	620	810	101	429	751	360
154	522	785	300	549	996	879
155	287	422	812	845	839	144
156	261	280	963	928	265	720
157	817	257	447	580	304	754
158	288	883	818	294	336	135
159	939	586	327	746	594	818
160	401	686	676	948	746	662
161	280	869	338	543	836	366
162	227	436	384	565	30	701
163	589	490	657	699	247	321
164	704	572	444	248	506	693
165	166	185	382	792	778	162
166	835	322	26	223	863	917
167	859	411	838	448	81	977
168	26	145	205	250	727	242
169	142	670	881	834	317	787
170	158	47	773	944	680	585
171	888	481	189	120	280	188
172	795	68	458	408	32	348
173	737	332	806	645	341	808
174	609	184	180	134	960	965
175	596	576	575	818	182	67
176	564	77	971	982	176	439
177	742	378	218	680	311	329
178	904	903	288	124	1001	1001
179	681	179	131	13	507	823
180	443	396	475	555	80	71
181	273	564	216	45	164	554
182	413	953	577	616	716	165
183	598	558	407	850	896	967
184	558	222	213	115	286	973
185	126	199	995	721	564	47
186	406	213	730	981	761	430
187	48	665	69	168	637	399
188	186	235	707	668	135	336
189	730	251	252	656	195	872
190	221	676	976	484	411	42
191	700	194	346	220	928	542
192	571	175	167	77	384	379
193	1	973	9	33	973	1006
194	819	424	305	521	335	514
195	675	24	132	38	628	646
196	297	380	641	310	111	639
197	21	346	672	364	393	628
198	997	543	942	771	690	344
199	143	272	513	278	717	665
200	768	587	796	985	844	782
201	546	446	388	625	401	325
202	245	548	232	173	534	793
203	676	104	170	51	281	182
204	517	478	982	332	921	652
205	307	889	938	860	314	296
206	433	372	113	61	309	537
207	54	421	59	35	713	432
208	660	475	399	239	307	267
209	47	999	545	53	209	63
210	1001	842	297	535	775	425
211	874	711	691	728	679	747
212	764	304	159	180	768	383
213	81	482	617	612	424	598
