latent_id	Drama	Comedy	Action	Thriller	Horror	Romance	Sci-Fi	Adventure
0	258	269	231	235	175	229	188	234
1	259	270	232	236	176	230	189	235
2	260	271	233	237	177	231	190	236
3	734	734	731	238	904	86	191	121
4	261	272	234	239	178	232	192	237
5	262	273	235	240	179	233	193	238
6	263	274	236	241	180	234	194	239
7	264	275	237	242	181	235	195	240
8	265	276	238	243	182	236	196	241
9	730	812	188	79	120	237	43	91
10	87	185	37	19	814	885	26	215
11	198	255	142	244	183	36	738	214
12	266	249	162	886	138	913	197	242
13	854	965	940	845	3	893	33	958
14	893	928	21	962	867	953	958	964
15	58	891	7	901	937	148	22	18
16	267	277	239	245	184	238	198	243
17	268	278	240	246	185	239	199	244
18	269	279	241	247	186	240	200	245
19	270	225	703	768	753	241	690	216
20	271	280	242	248	187	242	201	246
21	272	281	243	249	188	243	202	247
22	273	282	244	250	189	244	203	248
24	935	187	894	62	40	895	820	914
25	274	710	707	742	109	775	204	212
26	145	126	732	888	870	245	732	171
27	141	866	867	251	144	154	55	152
28	741	806	810	856	190	149	205	249
29	173	10	897	910	894	80	792	880
31	216	174	906	739	191	57	850	250
32	767	797	45	90	798	178	791	830
33	697	743	692	169	166	713	176	251
34	275	283	245	252	192	246	206	252
35	276	284	246	253	193	247	207	253
36	30	190	121	744	961	733	101	713
37	189	850	715	77	108	777	743	744
39	277	285	247	254	194	248	208	254
40	891	953	34	48	725	799	51	810
41	175	109	15	933	53	249	933	861
42	278	286	248	255	195	250	209	255
43	279	287	249	256	196	251	210	256
44	815	102	789	257	197	252	733	769
45	843	735	109	179	198	761	57	64
46	280	288	250	258	199	253	211	257
47	143	144	218	852	56	34	153	84
48	281	289	251	259	200	254	212	258
49	60	290	930	757	201	117	957	938
51	282	291	252	260	202	255	213	259
52	929	934	253	64	4	52	59	909
53	944	8	766	686	809	12	773	710
54	283	292	254	261	203	256	214	260
55	284	293	255	262	204	257	215	261
56	881	264	813	51	41	190	216	743
57	90	722	713	99	767	861	893	884
58	249	701	900	185	79	258	170	856
59	285	294	256	263	205	259	217	262
60	286	295	257	264	206	260	218	263
61	287	135	777	831	817	203	698	209
62	816	103	726	835	207	896	219	264
63	288	296	258	265	208	261	220	265
64	289	297	259	266	209	262	221	266
65	31	94	115	758	93	141	115	149
66	179	860	260	102	116	722	167	779
67	21	911	951	945	210	78	860	267
68	192	773	754	95	167	736	847	196
69	223	298	700	219	211	216	771	218
70	831	915	4	22	859	94	15	42
71	864	801	100	777	128	184	64	83
72	751	222	61	841	212	114	880	127
74	789	201	796	788	165	164	767	97
75	759	263	224	199	737	805	174	189
76	290	299	261	267	213	263	222	268
77	800	890	215	40	866	786	707	59
78	291	300	262	268	214	264	223	269
79	292	301	263	269	215	265	224	270
80	195	302	73	112	216	877	146	749
81	293	303	264	270	217	266	225	271
82	782	137	265	756	769	735	152	272
83	294	304	266	271	NaN	267	226	273
84	295	305	267	272	218	268	227	274
85	797	118	268	224	219	62	719	275
86	115	247	28	78	781	889	28	207
87	296	306	269	273	220	269	228	276
88	84	121	774	154	871	921	924	870
89	770	815	86	826	799	176	86	58
90	137	160	892	846	221	849	895	805
91	202	706	270	687	156	768	168	277
92	297	307	271	274	222	270	229	278
93	870	75	191	883	797	138	890	82
94	298	308	272	275	223	271	230	279
95	752	925	88	31	137	840	42	106
97	57	939	138	806	73	846	127	776
98	299	309	273	276	224	272	231	280
99	877	803	747	67	10	715	685	184
100	924	856	877	222	82	147	889	221
101	120	205	929	887	839	43	928	921
102	300	310	274	277	225	273	232	281
103	301	311	275	278	226	274	233	282
104	858	148	276	762	78	759	234	170
105	801	74	850	749	828	150	753	73
106	302	312	277	279	227	275	235	283
107	303	313	278	280	228	276	236	284
108	725	852	227	117	782	803	772	8
109	304	239	720	193	86	133	786	898
110	116	919	128	162	97	151	750	285
111	105	104	279	879	760	820	841	734
112	305	314	280	281	229	277	237	286
113	914	218	90	83	65	278	238	163
