item_id	i_artist_c	i_ablum_c	i_tag_c
1	1	1	1
2	1	1	1
3	1	2	1
4	2	3	2
5	3	4	2
6	4	5	3
7	5	6	2
8	6	7	2
9	7	8	1
10	8	9	1
11	9	10	1
12	9	10	4
13	9	10	1
14	9	10	1
15	9	10	1
16	9	10	1
17	10	11	1
18	10	11	1
19	11	12	2
20	12	13	2
21	13	14	5
22	14	15	2
23	15	16	2
24	15	16	2
25	15	16	2
26	16	17	2
27	17	18	6
28	17	18	6
29	17	18	6
30	18	19	7
31	19	20	8
32	19	21	8
33	20	22	3
34	21	23	9
35	22	24	2
36	23	25	10
37	24	26	11
38	24	26	11
39	25	27	12
40	26	28	2
41	27	29	13
42	28	30	2
43	28	30	2
44	28	30	2
45	28	30	2
46	29	31	2
47	30	32	2
48	30	32	2
49	30	32	13
50	30	32	2
51	31	33	14
52	32	34	15
53	33	35	9
54	33	35	9
55	33	35	9
56	34	36	16
57	35	37	11
58	36	38	2
59	36	38	2
60	36	38	2
61	37	39	2
62	38	40	2
63	38	40	2
64	39	41	13
65	39	41	17
66	39	41	13
67	39	41	2
68	40	42	18
69	41	43	19
70	42	44	4
71	43	45	20
72	43	45	2
73	43	45	20
74	43	45	20
75	43	45	20
76	43	45	20
77	43	45	20
78	43	45	20
79	43	45	21
80	43	45	20
81	43	45	20
82	43	45	20
83	43	45	20
84	43	45	20
85	43	45	20
86	43	45	20
87	43	45	20
88	44	46	1
89	44	46	2
90	45	47	22
91	45	47	22
92	46	48	23
93	47	49	2
94	48	50	2
95	49	51	24
96	50	52	2
97	51	53	2
98	52	54	2
99	53	55	14
100	53	55	25
101	53	55	25
102	53	55	25
103	53	55	25
104	53	55	1
105	53	55	14
106	53	55	1
107	53	55	14
108	53	55	14
109	53	55	2
110	53	55	14
111	53	55	14
112	54	56	21
113	55	57	2
114	56	58	26
115	57	59	27
116	58	60	21
117	59	61	1
118	60	62	2
119	61	63	28
120	61	63	29
121	61	63	29
122	61	63	29
123	61	63	6
124	61	63	28
125	61	63	13
126	61	63	30
127	61	63	28
128	61	63	31
129	62	64	13
130	62	64	32
131	63	65	33
132	63	65	33
133	64	66	3
134	65	67	1
135	65	68	1
136	65	68	2
137	66	69	2
138	66	69	2
139	66	69	2
140	66	69	34
141	66	69	2
142	66	69	2
143	67	70	35
144	68	71	2
145	69	72	1
146	69	72	1
147	69	72	1
148	69	72	1
149	69	72	1
150	69	72	1
151	70	73	1
152	71	74	29
153	72	75	36
154	73	76	13
155	73	76	13
156	74	77	37
157	75	78	38
158	75	78	38
159	76	79	39
160	77	80	31
161	77	80	31
162	77	80	31
163	77	80	31
164	77	80	31
165	78	81	2
166	78	81	40
167	78	81	41
168	78	81	41
169	78	81	41
170	79	82	1
171	79	83	2
172	80	84	41
173	81	85	2
174	82	86	42
175	83	87	2
176	84	88	2
177	85	89	1
178	86	90	19
179	86	90	8
180	87	91	43
181	87	91	44
182	87	91	36
183	88	92	2
184	89	93	45
185	90	94	13
186	91	95	46
187	91	95	46
188	91	96	46
189	92	97	2
190	93	98	37
191	94	99	1
192	95	100	47
193	96	101	48
194	97	102	20
195	97	102	49
196	97	102	49
197	97	102	49
198	97	102	49
199	97	102	49
200	97	102	49
201	98	103	13
202	99	104	50
203	100	105	31
204	100	105	31
205	101	106	13
206	101	106	1
207	101	106	13
208	101	106	23
209	101	106	13
210	101	106	13
211	101	106	13
212	101	106	13
213	101	106	13
214	101	106	13
215	101	106	13
216	102	107	51
217	102	107	1
218	103	108	52
219	104	109	53
220	105	110	21
221	105	110	54
222	106	111	2
223	107	112	1
224	107	112	1
225	108	113	55
226	109	114	1
227	110	115	2
228	110	115	2
229	111	116	13
230	111	116	31
231	112	117	13
232	113	118	13
233	113	118	13
234	113	118	13
235	113	118	13
236	113	118	56
237	113	118	13
238	113	118	13
239	113	118	56
240	113	118	13
241	113	118	13
242	113	119	13
243	113	119	56
244	114	120	33
245	115	121	33
246	116	122	1
247	116	123	3
248	116	123	56
249	116	123	1
250	117	124	2
251	118	125	8
252	118	125	8
253	118	125	8
254	118	125	8
255	118	125	8
256	118	125	8
257	118	125	8
258	118	125	8
